Date,Text,Link,Media URL,Title,Label,Alt text(s),Comment(s),"Pin board, FB album, or Google category","Post subtype - I.e. story, reel, PDF ..",CTA - For Facebook links or Google,Reminder
,"Your liver forgives you every six weeks. Until it can't. 🫀

🚨 STRAIN: alcohol 🥃 · hidden sugar 🍬 · 2AM meals 🥡
🛡️ SUPPORT: broccoli sprouts 🌱 · garlic 🧄 · grapefruit 🍊

🛠️ The Strategy: your liver regenerates every 6 weeks — give it six clean ones and watch what happens.

🔖 Save this before Friday night 🥃 (and tag someone whose liver deserves a vacation)

💬 Comment REMEDY and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#LiverHealth #LiverDetox #NaturalRemedies #HolisticHealth",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/liver_strain_support.mp4,Liver: Strain vs Support,kalsang-b2,"3D health infographic: Liver: Strain vs Support by Master Kalsang, The Quiet Hand",Comment REMEDY and I'll send you the full protocol.,,Reel,,
,"100,000 beats a day. Zero complaints filed. ❤️

🚨 STRAIN: salt 🧂 · vaping 💨 · sitting all day 🪑
🛡️ SUPPORT: salmon 🐟 · garlic 🧄 · a 20-minute walk 👟

🛠️ The Strategy: your habits should work FOR the only engine you get.

🔖 Save this for your next grocery run 🛒 (and tag someone whose cardio is walking to the fridge)

💬 Comment REMEDY and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#HeartHealth #CardiovascularHealth #HealthyHeart #Omega3",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/heart_strain_support.mp4,Heart: Strain vs Support,kalsang-b2,"3D health infographic: Heart: Strain vs Support by Master Kalsang, The Quiet Hand",Comment REMEDY and I'll send you the full protocol.,,Reel,,
,"Doomscrolling does to your brain what salt does to your kidneys. 🧠

🚨 STRAIN: doomscrolling 📱 · sugar spikes 🍬 · all-nighters ⏰
🛡️ SUPPORT: blueberries 🫐 · walnuts 🌰 · deep sleep 🌙

🛠️ The Strategy: the fog isn't age. It's inputs.

🔖 Save this for your next brain-fog morning 🌫️ (and tag someone who's been 'about to sleep' for 3 hours)

💬 Comment REMEDY and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#BrainFog #BrainHealth #CognitiveHealth #Neuroscience",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/brain_strain_support.mp4,Brain: Strain vs Support,kalsang-b2,"3D health infographic: Brain: Strain vs Support by Master Kalsang, The Quiet Hand",Comment REMEDY and I'll send you the full protocol.,,Reel,,
,"Your gut bacteria outnumber your own cells. Feed the right army. 🦠

🚨 STRAIN: ultra-processed food 🍯 · needless antibiotics 💊
🛡️ SUPPORT: sauerkraut 🫙 · miso 🍜 · fiber 🌾

🛠️ The Strategy: every meal is a vote for one side.

🔖 Save this for meal prep 🍱 (and tag someone whose gut growls in meetings)

💬 Comment REMEDY and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#GutHealth #Microbiome #Probiotics #ImmuneSupport",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/gut_strain_support.mp4,Gut: Strain vs Support,kalsang-b2,"3D health infographic: Gut: Strain vs Support by Master Kalsang, The Quiet Hand",Comment REMEDY and I'll send you the full protocol.,,Reel,,
,"The mirror shows what the kitchen did. 🪞

🚨 STRAIN: sugar 🍬 · dehydration 🧊 · sleep debt ⏰
🛡️ SUPPORT: omega-3 🐟 · water 💧 · zinc foods 🎃

🛠️ The Strategy: feed the skin for six weeks. Notice what shifts.

🔖 Save this before you buy another serum 🧴 (and tag someone with a 12-step routine and a candy drawer)

💬 Comment REMEDY and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#SkinHealth #ClearSkin #GlowUp #SkinFood",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/skin_strain_support.mp4,Skin: Strain vs Support,kalsang-b2,"3D health infographic: Skin: Strain vs Support by Master Kalsang, The Quiet Hand",Comment REMEDY and I'll send you the full protocol.,,Reel,,
,"Your lungs are self-cleaning. If you stop interrupting. 🫁

🚨 STRAIN: vaping 💨 · dust 🌫️ · shallow breathing 😮‍💨
🛡️ SUPPORT: ginger 🫚 · thyme 🌿 · slow nasal breaths 👃

🛠️ The Strategy: the cilia sweep all night. Give them something to work with.

🔖 Save this and take one slow breath now 🌬️ (and tag someone who needs to hear it)

💬 Comment REMEDY and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#LungHealth #BreathWork #RespiratoryHealth #NaturalHealing",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/lung_strain_support.mp4,Lungs: Strain vs Support,kalsang-b2,"3D health infographic: Lungs: Strain vs Support by Master Kalsang, The Quiet Hand",Comment REMEDY and I'll send you the full protocol.,,Reel,,
,"You asked for the full kidney protocol. Here it is. 🫘

🚨 STRAIN: energy drinks ⚡ · painkiller habit 💊
🛡️ SUPPORT: water timing 💧⏰ · lemon citrate 🍋 · cranberry 🍒

🛠️ The Strategy: your kidneys filter 180 liters a day. Make the input worth filtering.

🔖 Save this next to your water bottle 🧴 (and tag the energy drink friend. They know.)

💬 Comment REMEDY and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#KidneyHealth #RenalDiet #Hydration #NaturalRemedies",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/kidney_protocol_2.mp4,The Full Kidney Protocol,kalsang-b2,"3D health infographic: The Full Kidney Protocol by Master Kalsang, The Quiet Hand",Comment REMEDY and I'll send you the full protocol.,,Reel,,
,"Your eyes work a 12-hour screen shift daily. For free. 👁

🚨 STRAIN: blue light at 1AM 📱 · eye rubbing 👋
🛡️ SUPPORT: lutein greens 🥬 · goji 🍒 · the 20-20-20 rule ⏱️

🛠️ The Strategy: every 20 minutes, 20 seconds, 20 feet away. Your retina keeps the receipts.

🔖 Save this for your screen-tired eyes 📱 (and tag someone whose screen time report is a crime scene)

💬 Comment REMEDY and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#EyeHealth #BlueLight #VisionCare #ScreenTime",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/eye_strain_support.mp4,Eyes: Strain vs Support,kalsang-b2,"3D health infographic: Eyes: Strain vs Support by Master Kalsang, The Quiet Hand",Comment REMEDY and I'll send you the full protocol.,,Reel,,
,"Day 3 is ugly. Day 30 is worth it. 🫀

📆 Week 1: better sleep arrives first 😴
📆 Week 2: the 3AM wake-ups fade 🌙
📆 Week 3: fat processing resets ⚖️
📆 Week 4: enzymes normalize. The engine hums. ✨

🛠️ The Strategy: support the repair with water 💧 and leafy greens 🥬.

🔖 Save this for day 1 📌 (and tag your dry-month partner)

💬 Comment REMEDY and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#SoberCurious #LiverHealth #30DayChallenge #AlcoholFree",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/liver_30_days.mp4,Liver: 30 Days Without Alcohol,kalsang-b2,"3D health infographic: Liver: 30 Days Without Alcohol by Master Kalsang, The Quiet Hand",Comment REMEDY and I'll send you the full protocol.,,Reel,,
,"The first week feels like a breakup. Then the fog lifts. 🧠

📆 Days 1-5: cravings scream 🍬❌
📆 Week 2: steady energy, no 2PM crash ⚡
📆 Week 3: sharper focus, calmer mood 🎯
📆 Week 4: taste buds reset — fruit tastes like dessert 🍓

🛠️ The Strategy: protein breakfast 🥚 + daily walks 👟 carry you through week one.

🔖 Save this for Monday 📌 (and tag your sugar-quitting buddy)

💬 Comment REMEDY and I'll send you the full protocol.

ℹ️ Educational purposes only — not medical advice.

康

#SugarFree #BrainFog #30DayChallenge #MetabolicHealth",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/brain_30_days_sugar.mp4,Brain: 30 Days Off Sugar,kalsang-b2,"3D health infographic: Brain: 30 Days Off Sugar by Master Kalsang, The Quiet Hand",Comment REMEDY and I'll send you the full protocol.,,Reel,,
