Date,Text,Link,Media URL,Title,Label,Alt text(s),Comment(s),"Pin board, FB album, or Google category","Post subtype - I.e. story, reel, PDF ..",CTA - For Facebook links or Google,Reminder
2026/07/27 08:05,"Every organ asks for a different drink. Most of us pour the same one all day. 🧬

👁 Carrot Juice → beta-carotene becomes the vitamin A your retina runs on.
🧠 Beetroot Juice → nitrates widen the brain's blood vessels.
🫁 Ginger Tea → gingerol eases the airways.
🦴 Milk → calcium + vitamin D for the frame that carries you.

康 #OrganHealth #NaturalRemedies #HolisticHealth",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos/organ_healing_drinks.mp4,Organ Healing Drinks,kalsang,3D health infographic: Organ Healing Drinks by Master Kalsang,,Natural Remedies,,,
2026/07/11 08:05,"Your brain is an organ. Feed it like one. 🧠

🫐 Blueberries → anthocyanins cross the blood-brain barrier and calm neuro-inflammation.
🥚 Eggs → choline, the raw material of acetylcholine — your focus neurotransmitter.
🍫 Dark Chocolate → flavanols raise blood flow to the hippocampus.
🌰 Walnuts → omega-3 for the myelin that speeds every signal.
☕ Coffee → chlorogenic acid delays brain fatigue.

康 #BrainFood #MemorySupport #CognitiveHealth",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos/cognitive_clarity_protocol.mp4,The Cognitive Clarity Protocol,kalsang,3D health infographic: The Cognitive Clarity Protocol by Master Kalsang,,Natural Remedies,,,
2026/07/12 08:05,"Four drinks. Four quiet repairs. 🍵

🍵 Green Tea → catechins for the brain.
🥛 Milk → calcium + vitamin D into the bone.
💧 Water → the flush your kidneys never stop asking for.
❤️ Beetroot Juice → nitric oxide for the heart.

康 #DrinksAsMedicine #HeartHealth #KidneyHealth",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos/drinks_as_medicine_panels.mp4,Drinks As Medicine,kalsang,3D health infographic: Drinks As Medicine by Master Kalsang,,Natural Remedies,,,
2026/07/13 08:05,"Your heart beats 100,000 times a day and never files a complaint. Feed the engine. ❤️

🧄 Garlic → allicin inhibits cholesterol synthesis.
🐟 Salmon → EPA + DHA calm systemic inflammation.
🥑 Avocado → potassium steadies blood pressure.
🫘 Black Beans → soluble fiber binds cholesterol in the gut.
🍅 Tomato → lycopene softens arterial stiffness.

康 #HeartHealth #CardiovascularHealth #LowerCholesterol",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos/cardiovascular_engine.mp4,The Cardiovascular Engine,kalsang,3D health infographic: The Cardiovascular Engine by Master Kalsang,,Natural Remedies,,,
2026/07/14 08:05,"The skin repeats what the body whispers. Acne is often inflammation asking to be fed differently. 🪞

🐟 Salmon + 🌰 Walnuts → omega-3 to calm the fire.
🫐 Blueberries → antioxidants for repair.
🥬 Spinach → zinc + vitamin A for skin turnover.
🍵 Green Tea → cools inflammation from inside.
🎃 Pumpkin Seeds → zinc to seal the repair.

康 #AcneRemedy #ClearSkin #SkinHealth",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos/acne_superfoods.mp4,Acne Superfoods,kalsang,3D health infographic: Acne Superfoods by Master Kalsang,,Natural Remedies,,,
2026/07/15 08:05,"Most of your immune system lives along the gut wall. Rebuild the wall. 🧱

🫙 Sauerkraut → lactobacillus restores microbial diversity.
🫚 Ginger → speeds gastric motility, less bloating.
🍜 Miso → fermented enzymes strengthen the mucosal lining.
🍌 Green Banana → resistant starch feeds the good bacteria.
🍲 Bone Broth → collagen + glutamine seal the gaps.

康 #GutHealth #Probiotics #ImmuneSupport",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos/gut_immune_reset.mp4,The Gut-Immune Reset,kalsang,3D health infographic: The Gut-Immune Reset by Master Kalsang,,Natural Remedies,,,
2026/07/16 08:05,"Every vegetable has an address it delivers to. 📬

🥬 Spinach → iron for the blood.
🥕 Carrot → beta-carotene for the eyes.
🥦 Broccoli → vitamin K for the bones.
🍅 Tomato → lycopene for the heart.
🎃 Pumpkin → vitamin C for the skin.
🍠 Sweet Potato → slow glucose for the brain.

康 #EatYourVegetables #NutritionFacts #HeartHealth",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos/benefits_of_vegetables.mp4,Benefits of Vegetables,kalsang,3D health infographic: Benefits of Vegetables by Master Kalsang,,Natural Remedies,,,
2026/07/17 08:05,"Metabolism is a fire that must be tended, not forced. 🔥

🌶️ Chili Peppers → capsaicin raises thermogenesis.
🍵 Green Tea → EGCG opens the fat-oxidation pathway.
🍋 Lemon → supports the liver enzymes that clear waste.
🍎 Apple Cider Vinegar → improves insulin sensitivity, prevents the crash.
💧 Water → even mild dehydration slows fat breakdown by 10%.

康 #Metabolism #GreenTea #InsulinSensitivity",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos/metabolic_firepower.mp4,The Metabolic Firepower,kalsang,3D health infographic: The Metabolic Firepower by Master Kalsang,,Natural Remedies,,,
2026/07/18 08:05,"Six drinks, each pouring into the organ that asked for it. 🫗

💧 Pure Water → kidneys. Even mild dehydration slows the filters.
🍵 Green Tea → brain.
🌟 Turmeric Milk → bones.
🥥 Coconut Water → heart, carrying potassium.
🫚 Ginger Tea → digestion.
❤️ Beetroot Juice → blood vessels.

康 #DrinksAsMedicine #KidneyHealth #TurmericMilk",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos/drinks_as_medicine_pouring.mp4,Drinks As Medicine II,kalsang,3D health infographic: Drinks As Medicine II by Master Kalsang,,Natural Remedies,,,
2026/07/19 08:05,"Bone is living tissue that rebuilds itself every decade. Give it materials. 🦴

🥣 Yogurt → bioavailable calcium with vitamin D.
🥬 Kale → vitamin K1 walks calcium into bone, not soft tissue.
🐟 Sardines → edible bones: calcium + phosphorus together.
🌱 Sesame Seeds → copper + magnesium, the glue of collagen.
🍄 Mushrooms (sun-exposed) → vitamin D2 to absorb it all.

康 #BoneHealth #Osteoporosis #CalciumRich",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos/bone_integrity_matrix.mp4,The Bone Integrity Matrix,kalsang,3D health infographic: The Bone Integrity Matrix by Master Kalsang,,Natural Remedies,,,
2026/07/20 08:05,"The monastery garden was our pharmacy. Yours is on the windowsill. 🌿

🌿 Holy Basil → eases the lungs.
🌱 Coriander → helps the kidneys filter.
🌿 Parsley → carries calcium toward the bones.
🧠 Rosemary → carnosic acid protects brain cells.
🛡️ Thyme → raises the immune shield.
🍃 Mint → settles the stomach.

康 #KitchenHerbs #HerbalRemedies #NaturalHealing",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos/power_of_kitchen_herbs.mp4,Power of Kitchen Herbs,kalsang,3D health infographic: Power of Kitchen Herbs by Master Kalsang,,Natural Remedies,,,
