Date,Text,Link,Media URL,Title,Label,Alt text(s),Comment(s),"Pin board, FB album, or Google category","Post subtype - I.e. story, reel, PDF ..",CTA - For Facebook links or Google,Reminder
,"Your liver forgives you every six weeks. Until it can't. 🫀

🚨 STRAIN: alcohol 🥃 · hidden sugar 🍬 · 2AM meals 🥡
🛡️ SUPPORT: broccoli sprouts 🌱 · garlic 🧄 · grapefruit 🍊

康 #LiverHealth #LiverDetox #NaturalRemedies",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/liver_strain_support.mp4,Liver: Strain vs Support,kalsang-b2,"3D health infographic: Liver: Strain vs Support by Master Kalsang, The Quiet Hand",,Natural Remedies,,,
,"100,000 beats a day. Zero complaints filed. ❤️

🚨 STRAIN: salt 🧂 · vaping 💨 · sitting all day 🪑
🛡️ SUPPORT: salmon 🐟 · garlic 🧄 · a 20-minute walk 👟

康 #HeartHealth #CardiovascularHealth #HealthyHeart",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/heart_strain_support.mp4,Heart: Strain vs Support,kalsang-b2,"3D health infographic: Heart: Strain vs Support by Master Kalsang, The Quiet Hand",,Natural Remedies,,,
,"Doomscrolling does to your brain what salt does to your kidneys. 🧠

🚨 STRAIN: doomscrolling 📱 · sugar spikes 🍬 · all-nighters ⏰
🛡️ SUPPORT: blueberries 🫐 · walnuts 🌰 · deep sleep 🌙

康 #BrainFog #BrainHealth #CognitiveHealth",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/brain_strain_support.mp4,Brain: Strain vs Support,kalsang-b2,"3D health infographic: Brain: Strain vs Support by Master Kalsang, The Quiet Hand",,Natural Remedies,,,
,"Your gut bacteria outnumber your own cells. Feed the right army. 🦠

🚨 STRAIN: ultra-processed food 🍯 · needless antibiotics 💊
🛡️ SUPPORT: sauerkraut 🫙 · miso 🍜 · fiber 🌾

康 #GutHealth #Microbiome #Probiotics",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/gut_strain_support.mp4,Gut: Strain vs Support,kalsang-b2,"3D health infographic: Gut: Strain vs Support by Master Kalsang, The Quiet Hand",,Natural Remedies,,,
,"The mirror shows what the kitchen did. 🪞

🚨 STRAIN: sugar 🍬 · dehydration 🧊 · sleep debt ⏰
🛡️ SUPPORT: omega-3 🐟 · water 💧 · zinc foods 🎃

康 #SkinHealth #ClearSkin #GlowUp",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/skin_strain_support.mp4,Skin: Strain vs Support,kalsang-b2,"3D health infographic: Skin: Strain vs Support by Master Kalsang, The Quiet Hand",,Natural Remedies,,,
,"Your lungs are self-cleaning. If you stop interrupting. 🫁

🚨 STRAIN: vaping 💨 · dust 🌫️ · shallow breathing 😮‍💨
🛡️ SUPPORT: ginger 🫚 · thyme 🌿 · slow nasal breaths 👃

康 #LungHealth #BreathWork #RespiratoryHealth",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/lung_strain_support.mp4,Lungs: Strain vs Support,kalsang-b2,"3D health infographic: Lungs: Strain vs Support by Master Kalsang, The Quiet Hand",,Natural Remedies,,,
,"You asked for the full kidney protocol. Here it is. 🫘

🚨 STRAIN: energy drinks ⚡ · painkiller habit 💊
🛡️ SUPPORT: water timing 💧⏰ · lemon citrate 🍋 · cranberry 🍒

康 #KidneyHealth #RenalDiet #Hydration",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/kidney_protocol_2.mp4,The Full Kidney Protocol,kalsang-b2,"3D health infographic: The Full Kidney Protocol by Master Kalsang, The Quiet Hand",,Natural Remedies,,,
,"Your eyes work a 12-hour screen shift daily. For free. 👁

🚨 STRAIN: blue light at 1AM 📱 · eye rubbing 👋
🛡️ SUPPORT: lutein greens 🥬 · goji 🍒 · the 20-20-20 rule ⏱️

康 #EyeHealth #BlueLight #VisionCare",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/eye_strain_support.mp4,Eyes: Strain vs Support,kalsang-b2,"3D health infographic: Eyes: Strain vs Support by Master Kalsang, The Quiet Hand",,Natural Remedies,,,
,"Day 3 is ugly. Day 30 is worth it. 🫀

📆 Week 1: better sleep arrives first 😴
📆 Week 2: the 3AM wake-ups fade 🌙
📆 Week 3: fat processing resets ⚖️
📆 Week 4: enzymes normalize. The engine hums. ✨

康 #SoberCurious #LiverHealth #30DayChallenge",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/liver_30_days.mp4,Liver: 30 Days Without Alcohol,kalsang-b2,"3D health infographic: Liver: 30 Days Without Alcohol by Master Kalsang, The Quiet Hand",,Natural Remedies,,,
,"The first week feels like a breakup. Then the fog lifts. 🧠

📆 Days 1-5: cravings scream 🍬❌
📆 Week 2: steady energy, no 2PM crash ⚡
📆 Week 3: sharper focus, calmer mood 🎯
📆 Week 4: taste buds reset — fruit tastes like dessert 🍓

康 #SugarFree #BrainFog #30DayChallenge",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/brain_30_days_sugar.mp4,Brain: 30 Days Off Sugar,kalsang-b2,"3D health infographic: Brain: 30 Days Off Sugar by Master Kalsang, The Quiet Hand",,Natural Remedies,,,
,"One jar of sauerkraut. Thirty days. Watch. 🫙

📆 Week 1: the new tenants move in 🦠
📆 Week 2: less bloating after meals 🌬️
📆 Week 3: regularity you could set a watch to ⏰
📆 Week 4: microbial diversity up — immunity's foundation 🛡️

康 #GutHealth #FermentedFoods #Probiotics",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/gut_30_days_fermented.mp4,Gut: 30 Days of Fermented Foods,kalsang-b2,"3D health infographic: Gut: 30 Days of Fermented Foods by Master Kalsang, The Quiet Hand",,Natural Remedies,,,
,"Cheaper than any serum you own. 💧

📆 Week 1: headaches quietly leave 🤔
📆 Week 2: skin plumps, fine lines soften ✨
📆 Week 3: dark circles lighten 👁
📆 Week 4: the glow people ask about 🌟

康 #HydrationChallenge #GlowUp #SkinCare",,https://raw.githubusercontent.com/pboama88-afk/kalsang-video-vault/main/videos_batch2/face_30_days_water.mp4,Face: 30 Days of 3 Liters,kalsang-b2,"3D health infographic: Face: 30 Days of 3 Liters by Master Kalsang, The Quiet Hand",,Natural Remedies,,,
